"Employee";"YearsExperience";"Salary";"Ages";"Area";"D_Salary";"Difference"
"John Smith";1,1;39343;21;"Engineering";36187,16;-3155,84
"Emily Johnson";1,3;46205;23;"Quality";38077,15;-8127,85
"Michael Williams";1,5;37731;22;"Methods";39967,14;2236,14
"Emma Brown";2;43525;22;"Methods";44692,12;1167,12
"William Jones";2,2;39891;23;"Engineering";46582,12;6691,12
"Olivia Davis";2,9;56642;23;"Quality";53197,09;-3444,91
"James Miller";3;60150;23;"Engineering";54142,09;-6007,91
"Ava Wilson";3,2;54445;24;"Quality";56032,08;1587,08
"Robert Moore";3,2;64445;23;"Methods";56032,08;-8412,92
"Isabella Taylor";3,7;57189;26;"Methods";60757,06;3568,06
"David Anderson";3,9;63218;27;"Engineering";62647,05;-570,95
"Sophia Thomas";4;55794;28;"Quality";63592,05;7798,05
"Joseph Jackson";4;56957;27;"Engineering";63592,05;6635,05
"Mia White";4,1;57081;27;"Quality";64537,05;7456,05
"Charles Harris";4,5;61111;28;"Methods";68317,03;7206,03
"Charlotte Martin";4,9;67938;26;"Methods";72097,02;4159,02
"Daniel Thompson";5,1;66029;29;"Engineering";73987,01;7958,01
"Amelia Garcia";5,3;83088;29;"Quality";75877;-7211
"Matthew Martinez";5,9;81363;28;"Engineering";81546,98;183,98
"Harper Robinson";6;93940;27;"Quality";82491,97;-11448,03
"Andrew Clark";6,8;91738;26;"Methods";90051,94;-1686,06
"Evelyn Rodriguez";7,1;98273;28;"Methods";92886,93;-5386,07
"Steven Lewis";7,9;101302;26;"Engineering";100446,9;-855,1
"Abigail Lee";8,2;113812;28;"Quality";103281,89;-10530,11
"Brian Walker";8,7;109431;32;"Engineering";108006,87;-1424,13
"Elizabeth Hall";9;105582;31;"Quality";110841,86;5259,86
"Jason Young";9,5;116969;34;"Methods";115566,84;-1402,16
"Sofia Hernandez";9,6;112635;34;"Methods";116511,84;3876,84
"Kevin King";10,3;122391;35;"Engineering";123126,81;735,81
"Grace Wright";10,5;121872;35;"Quality";125016,8;3144,8
